Item Name,Quantity/Volume,Price (BDT),Link
Potato Regular (± 50 gm),1 kg,25,https://chaldal.com/fresh-vegetable
Red Tomato ± 25 gm,500 gm,55,https://chaldal.com/fresh-vegetable
Coriander Leaves (Dhonia Pata) ± 10 gm,100 gm,19,https://chaldal.com/fresh-vegetable
Roshun (Garlic Imported) ± 25 gm,500 gm,119,https://chaldal.com/fresh-vegetable
Lal Alu (Red Potato Cardinal) ± 50 gm,1 kg,25,https://chaldal.com/fresh-vegetable
Kacha Morich (Green Chilli) ±12 gm,250 gm,35,https://chaldal.com/fresh-vegetable
Deshi Gajor (Local Carrot) ± 25 gm,500 gm,49,https://chaldal.com/fresh-vegetable
Deshi Shosha (Local Cucumber) ± 25 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Ada (Imported Ginger) ± 25 gm,500 gm,109,https://chaldal.com/fresh-vegetable
Lal Shak (Red Spinach),1 bundle,19,https://chaldal.com/fresh-vegetable
Lomba Lebu (Long Lemon),4 pcs,49,https://chaldal.com/fresh-vegetable
Deshi Roshun (Garlic Local) ±25 gm,500 gm,55,https://chaldal.com/fresh-vegetable
Fulkopi (Cauliflower),each,65,https://chaldal.com/fresh-vegetable
Kacha Morich (Green Chilli) ± 12 gm,100 gm,15,https://chaldal.com/fresh-vegetable
Deshi Ada (Local Ginger) ± 25 gm,500 gm,99,https://chaldal.com/fresh-vegetable
Palong Shak (Palong Spinach),1 bundle,29,https://chaldal.com/fresh-vegetable
Kacha Pepe (Green Papaya) ± 70 gm,1.4 kg,99,https://chaldal.com/fresh-vegetable
Misti Kumra Fali (Sweet Pumpkin Slice) ± 40 gm,1 kg,49,https://chaldal.com/fresh-vegetable
Shosha (Cucumber) ± 25 gm,500 gm,39,https://chaldal.com/fresh-vegetable
Misti Alu (Sweet Potato) ± 25 gm,500 gm,35,https://chaldal.com/fresh-vegetable
Kolmi Shak (Water Spinach),1 bundle,19,https://chaldal.com/fresh-vegetable
Gol Lebu (Round Lemon),4 pcs,35,https://chaldal.com/fresh-vegetable
Green Capsicum ± 15 gm,300 gm,89,https://chaldal.com/fresh-vegetable
Badhakopi (Cabbage),each,59,https://chaldal.com/fresh-vegetable
Chichinga (Snake Gourd) ± 25 gm,500 gm,35,https://chaldal.com/fresh-vegetable
Lomba Kalo Begun (Long Brinjal Black) ± 25 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Beetroot ±25 gm,500 gm,55,https://chaldal.com/fresh-vegetable
Lau (Bottle Gourd),each,65,https://chaldal.com/fresh-vegetable
Pudina Pata (Mint Leaves) ± 10 gm,100 gm,29,https://chaldal.com/fresh-vegetable
Lal Alu (Red Potato) ± 25 gm,500 gm,19,https://chaldal.com/fresh-vegetable
Kacha Kola (Banana Green),4 pcs,55,https://chaldal.com/fresh-vegetable
Kochur Mukhi (Taro Roots) ± 25 gm,500 gm,49,https://chaldal.com/fresh-vegetable
Uchche (Local Bitter Gourd) ± 25 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Sobuj Gol Begun (Round Brinjals Green) ±35 gm,700 gm,59,https://chaldal.com/fresh-vegetable
Pui Shak (Pui Spinach),1 bundle,45,https://chaldal.com/fresh-vegetable
Korola (Bitter Gourd) ± 25 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Jali Kumra (Water Pumpkin),each,65,https://chaldal.com/fresh-vegetable
Data Shak (Data Spinach),1 bundle,25,https://chaldal.com/fresh-vegetable
Mula (Radish) ± 25 gm,500 gm,35,https://chaldal.com/fresh-vegetable
Ada (Imported Ginger) ± 25 gm,250 gm,55,https://chaldal.com/fresh-vegetable
Roshun (Garlic Imported) ± 25 gm,250 gm,65,https://chaldal.com/fresh-vegetable
Lettuce Leaves ± 10 gm,100 gm,39,https://chaldal.com/fresh-vegetable
Potato Regular (± 25 gm),600 gm,15,https://chaldal.com/fresh-vegetable
Thankuni Pata (Pennywort Leaves),1 bundle,9,https://chaldal.com/fresh-vegetable
Kalo Gol Begun (Round Brinjals Black) ±35 gm,800 gm,79,https://chaldal.com/fresh-vegetable
Kochur Loti (Stolon Of Taro) ± 25 gm,500 gm,49,https://chaldal.com/fresh-vegetable
Dhundhul (Sponge Gourd) ±20 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Deshi Roshun (Garlic Local) ±25 gm,250 gm,29,https://chaldal.com/fresh-vegetable
Lau Shak (Sweet Bitter Melon Leaves),1 bundle,49,https://chaldal.com/fresh-vegetable
Bombay Chilli,5 pcs,39,https://chaldal.com/fresh-vegetable
Mango Himshagor ± 50 gm,3 kg,269,https://chaldal.com/fresh-fruit
Shagor Kola (Banana Sagor),4 pcs,49,https://chaldal.com/fresh-fruit
Banana Chompa (Ready To Eat),4 pcs,29,https://chaldal.com/fresh-fruit
Guava Premium (± 50 gm),1 kg,139,https://chaldal.com/fresh-fruit
Bangla Kola,4 pcs,39,https://chaldal.com/fresh-fruit
Daab (Green Coconut),each,149,https://chaldal.com/fresh-fruit
Malta ± 50 gm,1 kg,319,https://chaldal.com/fresh-fruit
Paka Pape ± 50 gm,1 kg,189,https://chaldal.com/fresh-fruit
Dalim (Pomegranate),2 pcs,329,https://chaldal.com/fresh-fruit
China Fuji Apple ± 50 gm,1 kg,389,https://chaldal.com/fresh-fruit
Shada Nashpati ± 50 gm (Pear White),2 pcs,179,https://chaldal.com/fresh-fruit
Komola (Orange) Imported ± 50 gm,1 kg,389,https://chaldal.com/fresh-fruit
Anaros (Pineapple),each,89,https://chaldal.com/fresh-fruit
Gala Apple ± 50 gm,1 kg,399,https://chaldal.com/fresh-fruit
Narikel (Coconut),each,159,https://chaldal.com/fresh-fruit
Bel (Wood Apple),each,99,https://chaldal.com/fresh-fruit
Pomegranate Peeled (± 50 gm),300 gm,439,https://chaldal.com/fresh-fruit
Mango Gobindobhog ± 50 gm,3 kg,299,https://chaldal.com/fresh-fruit
Mango Gopalbhog ± 50 gm,3 kg,299,https://chaldal.com/fresh-fruit
Watermelon Medium 4 kg + (Tormuj),each,249,https://chaldal.com/fresh-fruit
Banana Sobri,4 pcs,45,https://chaldal.com/fresh-fruit
Sobuj Angur (Green Grapes) ± 12 gm,250 gm,129,https://chaldal.com/fresh-fruit
Watermelon Small 3 kg + (Tormuj),each,189,https://chaldal.com/fresh-fruit
Green Apple ± 50 gm,1 kg,419,https://chaldal.com/fresh-fruit
Watermelon Large 5 kg + (Tormuj),each,299,https://chaldal.com/fresh-fruit
Dragon Fruit Local (± 50 gm),1 kg,349,https://chaldal.com/fresh-fruit
Watermelon (Tormuj) 6 kg+,each,369,https://chaldal.com/fresh-fruit
Jamrul (Java Apple Red),1 kg,139,https://chaldal.com/fresh-fruit
Watermelon (Tormuj) 8 kg+,each,489,https://chaldal.com/fresh-fruit
Koromcha Fruit,500 gm,79,https://chaldal.com/fresh-fruit
Jamrul (Java Apple White),500 gm,65,https://chaldal.com/fresh-fruit
Lychee Premium,50 pcs,219,https://chaldal.com/fresh-fruit
Broiler Whole Chicken Leg Skin On (± 50 gm),1 kg,469,https://chaldal.com/chicken-poultry
Broiler Chicken Skin On ± 50 gm,1 kg,289,https://chaldal.com/chicken-poultry
Broiler Chicken Skin Off ± 50 gm,1 kg,329,https://chaldal.com/chicken-poultry
Broiler Chicken Skin Off ± 50 gm,1.4 kg,459,https://chaldal.com/chicken-poultry
Broiler Chicken Breast Boneless ± 50 gm,1 kg,589,https://chaldal.com/chicken-poultry
Broiler Chicken Breast Boneless ± 25 gm,500 gm,289,https://chaldal.com/chicken-poultry
Chicken Liver (Kolija) ± 25 gm,500 gm,139,https://chaldal.com/chicken-poultry
Broiler Chicken Thigh Boneless ± 50 gm,1 kg,419,https://chaldal.com/chicken-poultry
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,465,https://chaldal.com/chicken-poultry
Broiler Chicken Drumsticks ± 50 gm (9-12 pcs),1 kg,489,https://chaldal.com/chicken-poultry
Bengal Meat Chicken Thigh Keema ± 50 gm,1 kg,635,https://chaldal.com/chicken-poultry
Broiler Chicken Skin On ± 50 gm,1.4 kg,419,https://chaldal.com/chicken-poultry
Chicken Liver Gizzard Mix,1 kg,229,https://chaldal.com/chicken-poultry
Broiler Chicken Wings (± 50 gm),1 kg,459,https://chaldal.com/chicken-poultry
Broiler Chicken Drumsticks ± 25 gm (6-8 pcs),500 gm,249,https://chaldal.com/chicken-poultry
Broiler Chicken Thigh Boneless ± 25 gm,500 gm,219,https://chaldal.com/chicken-poultry
Chaldal Premium Broiler Chicken Wings ± 50 gm,500 gm,219,https://chaldal.com/chicken-poultry
Chicken Keema (Net Weight ± 50 gm),1 kg,619,https://chaldal.com/chicken-poultry
Broiler Chicken Breast With Bone (± 50 gm),1 kg,499,https://chaldal.com/chicken-poultry
Live Cock Chicken (Processed) ± 25 gm,500 gm,329,https://chaldal.com/chicken-poultry
Beijing Duck Meat (Net Weight ± 50 gm),1500 gm,999,https://chaldal.com/chicken-poultry
Chaldal Premium Broiler Chicken Wings ± 50 gm,500 gm,219,https://chaldal.com/premium-perishables
Telapiya Fish Processed ±50 gm,1 kg,339,https://chaldal.com/frozen-fish
Deshi Sarputi Fish ±30 gm,500 gm,179,https://chaldal.com/frozen-fish
Shol Fish Processed ±50 gm,1 kg,869,https://chaldal.com/frozen-fish
Boal Fish After Cutting  ±50 gm,1 kg,859,https://chaldal.com/frozen-fish
Pabda Fish ±30 gm,500 gm,199,https://chaldal.com/frozen-fish
Pangas Fish After Cutting ±50 gm,1 kg,279,https://chaldal.com/frozen-fish
Rui Fish After Cutting ±50 gm,1 kg,419,https://chaldal.com/frozen-fish
Kaski Fish ±15 gm,250 gm,169,https://chaldal.com/frozen-fish
Gura Chingri (Shrimp) ±15 gm,250 gm,229,https://chaldal.com/frozen-fish
Koi Fish Processed ±50 gm,1 kg,379,https://chaldal.com/frozen-fish
Shing Fish Processed ±30 gm,500 gm,299,https://chaldal.com/frozen-fish
Mola Fish Deshi ±15 gm,250 gm,169,https://chaldal.com/frozen-fish
Mix Fish (Deshi) ± 30 gm,500 gm,269,https://chaldal.com/frozen-fish
Ayer Fish After Cutting ±30 gm,500 gm,489,https://chaldal.com/frozen-fish
Catla Fish After Cutting ±70 gm,1.5 kg,689,https://chaldal.com/frozen-fish
Silver Carp Fish After Cutting ±50 gm,1 kg,319,https://chaldal.com/frozen-fish
Tatkini Fish ±30 gm,500 gm,159,https://chaldal.com/frozen-fish
Poa Fish ± 30 gm,500 gm,269,https://chaldal.com/frozen-fish
PQS Chapila Fish Processed,250 gm,165,https://chaldal.com/frozen-fish
Magur Fish Processed ±30 gm,500 gm,399,https://chaldal.com/frozen-fish
Tengra Fish Deshi ±20 gm,400 gm,319,https://chaldal.com/frozen-fish
Rupchanda Fish Medium ±30 gm,500 gm,789,https://chaldal.com/frozen-fish
Puti Fish ±15 gm,250 gm,149,https://chaldal.com/frozen-fish
Globe Pangus Fish Sliced ± 50 gm,1 kg,370,https://chaldal.com/frozen-fish
Globe Koi Fish Processed ± 50 gm,1 kg,520,https://chaldal.com/frozen-fish
Globe Telapia Fish Processed ± 50 gm,1 kg,375,https://chaldal.com/frozen-fish
Mrigel Fish After Cutting ± 50 gm,1 kg,369,https://chaldal.com/frozen-fish
Globe Pabda Fish Whole ±30 gm,500 gm,370,https://chaldal.com/frozen-fish
Globe Deshi Mola Fish Processed (Headless) ±15 gm,250 gm,240,https://chaldal.com/frozen-fish
Globe Deshi Puti Fish Processed ±15 gm,250 gm,145,https://chaldal.com/frozen-fish
Globe White Fish Fillet (3-4 pcs) ±50 gm,1 kg,585,https://chaldal.com/frozen-fish
PQS Halda Hawor Puti Block Fish Processed,250 gm,195,https://chaldal.com/frozen-fish
PQS Halda Hawor Pabda Block Fish Processed,250 gm,260,https://chaldal.com/frozen-fish
PQS Halda Hawor Shing Block Fish Processed,250 gm,240,https://chaldal.com/frozen-fish
PQS Halda Hawor Mola Block Fish Processed,250 gm,285,https://chaldal.com/frozen-fish
PQS Halda Hawor Kaski Block Fish Processed,250 gm,238,https://chaldal.com/frozen-fish
Grass Carp Fish After Cutting ±50 gm,1 kg,359,https://chaldal.com/frozen-fish
PQS Chikra Baim Fish Processed,250 gm,285,https://chaldal.com/frozen-fish
PQS Chela Pata Fish Processed,250 gm,350,https://chaldal.com/frozen-fish
PQS Bata Fish Processed,250 gm,190,https://chaldal.com/frozen-fish
PQS Rohu Fish Processed,250 gm,235,https://chaldal.com/frozen-fish
PQS Rani Fish Processed,250 gm,405,https://chaldal.com/frozen-fish
PQS Mix Fish Processed,250 gm,210,https://chaldal.com/frozen-fish
PQS Baila Fish Processed,250 gm,190,https://chaldal.com/frozen-fish
PQS Taposhi Fish Processed,250 gm,300,https://chaldal.com/frozen-fish
PQS Tengra Fish Processed,250 gm,275,https://chaldal.com/frozen-fish
