Item Name,Quantity/Volume,Price (BDT),Link
Potato Regular (± 50 gm),1 kg,26,https://chaldal.com/fresh-vegetable
Red Tomato ± 25 gm,500 gm,99,https://chaldal.com/fresh-vegetable
Coriander Leaves (Dhonia Pata) ± 10 gm,100 gm,19,https://chaldal.com/fresh-vegetable
Roshun (Garlic Imported) ± 25 gm,500 gm,75,https://chaldal.com/fresh-vegetable
Kacha Morich (Green Chilli) ±12 gm,250 gm,45,https://chaldal.com/fresh-vegetable
Lal Alu (Red Potato Cardinal) ± 50 gm,1 kg,25,https://chaldal.com/fresh-vegetable
Lal Shak (Red Spinach),1 bundle,19,https://chaldal.com/fresh-vegetable
Deshi Shosha (Local Cucumber) ± 25 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Ada (Imported Ginger) ± 25 gm,500 gm,89,https://chaldal.com/fresh-vegetable
Lomba Lebu (Long Lemon),4 pcs,25,https://chaldal.com/fresh-vegetable
Misti Kumra Fali (Sweet Pumpkin Slice) ± 40 gm,1 kg,45,https://chaldal.com/fresh-vegetable
Deshi Roshun (Garlic Local) ±25 gm,500 gm,59,https://chaldal.com/fresh-vegetable
Misti Alu (Sweet Potato) ± 25 gm,500 gm,79,https://chaldal.com/fresh-vegetable
Kacha Morich (Green Chilli) ± 12 gm,100 gm,18,https://chaldal.com/fresh-vegetable
Kacha Pepe (Green Papaya) ± 70 gm,1.4 kg,59,https://chaldal.com/fresh-vegetable
Deshi Ada (Local Ginger) ± 25 gm,500 gm,75,https://chaldal.com/fresh-vegetable
Kolmi Shak (Water Spinach),1 bundle,19,https://chaldal.com/fresh-vegetable
Palong Shak (Palong Spinach),1 bundle,29,https://chaldal.com/fresh-vegetable
Shosha (Cucumber) ± 25 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Chichinga (Snake Gourd) ± 25 gm,500 gm,35,https://chaldal.com/fresh-vegetable
Gol Lebu (Round Lemon),4 pcs,29,https://chaldal.com/fresh-vegetable
Fulkopi (Cauliflower),each,75,https://chaldal.com/fresh-vegetable
Lau (Bottle Gourd),each,65,https://chaldal.com/fresh-vegetable
Green Capsicum ± 15 gm,300 gm,89,https://chaldal.com/fresh-vegetable
Beetroot ±25 gm,500 gm,49,https://chaldal.com/fresh-vegetable
Badhakopi (Cabbage),each,65,https://chaldal.com/fresh-vegetable
Uchche (Local Bitter Gourd) ± 25 gm,500 gm,49,https://chaldal.com/fresh-vegetable
Korola (Bitter Gourd) ± 25 gm,500 gm,55,https://chaldal.com/fresh-vegetable
Pui Shak (Pui Spinach),1 bundle,39,https://chaldal.com/fresh-vegetable
Kochur Mukhi (Taro Roots) ± 25 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Kacha Kola (Banana Green),4 pcs,55,https://chaldal.com/fresh-vegetable
Lomba Kalo Begun (Long Brinjal Black) ± 25 gm,500 gm,55,https://chaldal.com/fresh-vegetable
Sobuj Gol Begun (Round Brinjals Green) ±35 gm,700 gm,85,https://chaldal.com/fresh-vegetable
Jali Kumra (Water Pumpkin),each,65,https://chaldal.com/fresh-vegetable
Data Shak (Data Spinach),1 bundle,25,https://chaldal.com/fresh-vegetable
Dhundhul (Sponge Gourd) ±20 gm,500 gm,45,https://chaldal.com/fresh-vegetable
Pudina Pata (Mint Leaves) ± 10 gm,100 gm,29,https://chaldal.com/fresh-vegetable
Kochur Loti (Stolon Of Taro) ± 25 gm,500 gm,39,https://chaldal.com/fresh-vegetable
Thankuni Pata (Pennywort Leaves),1 bundle,9,https://chaldal.com/fresh-vegetable
Lal Alu (Red Potato) ± 25 gm,500 gm,29,https://chaldal.com/fresh-vegetable
Kalo Gol Begun (Round Brinjals Black) ±35 gm,800 gm,89,https://chaldal.com/fresh-vegetable
Roshun (Garlic Imported) ± 25 gm,250 gm,39,https://chaldal.com/fresh-vegetable
Ada (Imported Ginger) ± 25 gm,250 gm,49,https://chaldal.com/fresh-vegetable
Mula (Radish) ± 25 gm,500 gm,35,https://chaldal.com/fresh-vegetable
Bombay Chilli,5 pcs,29,https://chaldal.com/fresh-vegetable
Lau Shak (Sweet Bitter Melon Leaves),1 bundle,45,https://chaldal.com/fresh-vegetable
Kacha Holud (Raw Turmeric) ± 12 gm,250 gm,45,https://chaldal.com/fresh-vegetable
Lettuce Leaves ± 10 gm,100 gm,45,https://chaldal.com/fresh-vegetable
Deshi Roshun (Garlic Local) ±25 gm,250 gm,35,https://chaldal.com/fresh-vegetable
Potato Regular (± 25 gm),600 gm,16,https://chaldal.com/fresh-vegetable
Mango Himshagor ± 50 gm,3 kg,269,https://chaldal.com/fresh-fruit
Shagor Kola (Banana Sagor),4 pcs,55,https://chaldal.com/fresh-fruit
Banana Chompa (Ready To Eat),4 pcs,29,https://chaldal.com/fresh-fruit
Guava Premium (± 50 gm),1 kg,129,https://chaldal.com/fresh-fruit
Malta ± 50 gm,1 kg,299,https://chaldal.com/fresh-fruit
Bangla Kola,4 pcs,45,https://chaldal.com/fresh-fruit
Daab (Green Coconut),each,159,https://chaldal.com/fresh-fruit
Paka Pape ± 50 gm,1 kg,199,https://chaldal.com/fresh-fruit
Dalim (Pomegranate),2 pcs,329,https://chaldal.com/fresh-fruit
China Fuji Apple ± 50 gm,1 kg,419,https://chaldal.com/fresh-fruit
Anaros (Pineapple),each,79,https://chaldal.com/fresh-fruit
Shada Nashpati ± 50 gm (Pear White),2 pcs,185,https://chaldal.com/fresh-fruit
Komola (Orange) Imported ± 50 gm,1 kg,389,https://chaldal.com/fresh-fruit
Gala Apple ± 50 gm,1 kg,499,https://chaldal.com/fresh-fruit
Bel (Wood Apple),each,149,https://chaldal.com/fresh-fruit
Narikel (Coconut),each,169,https://chaldal.com/fresh-fruit
Pomegranate Peeled (± 50 gm),300 gm,439,https://chaldal.com/fresh-fruit
Sobuj Angur (Green Grapes) ± 12 gm,250 gm,169,https://chaldal.com/fresh-fruit
Banana Sobri,4 pcs,55,https://chaldal.com/fresh-fruit
Green Apple ± 50 gm,1 kg,519,https://chaldal.com/fresh-fruit
Watermelon Large 5 kg + (Tormuj),each,359,https://chaldal.com/fresh-fruit
Lychee Premium,50 pcs,279,https://chaldal.com/fresh-fruit
Jamrul (Java Apple Red),1 kg,179,https://chaldal.com/fresh-fruit
Koromcha Fruit,500 gm,99,https://chaldal.com/fresh-fruit
Jamrul (Java Apple White),500 gm,79,https://chaldal.com/fresh-fruit
Dragon Fruit Local (± 50 gm),1 kg,229,https://chaldal.com/fresh-fruit
