Item Name,Quantity/Volume,Price (BDT),Link
Potato Regular (± 50 gm),1 kg,26,https://chaldal.com/fresh-vegetable
Red Tomato ± 25 gm,500 gm,79,https://chaldal.com/fresh-vegetable
Coriander Leaves (Dhonia Pata) ± 10 gm,100 gm,19,https://chaldal.com/fresh-vegetable
Roshun (Garlic Imported) ± 25 gm,500 gm,75,https://chaldal.com/fresh-vegetable
Kacha Morich (Green Chilli) ±12 gm,250 gm,29,https://chaldal.com/fresh-vegetable
Lal Alu (Red Potato Cardinal) ± 50 gm,1 kg,25,https://chaldal.com/fresh-vegetable
Lal Shak (Red Spinach),1 bundle,19,https://chaldal.com/fresh-vegetable
Deshi Shosha (Local Cucumber) ± 25 gm,500 gm,39,https://chaldal.com/fresh-vegetable
Ada (Imported Ginger) ± 25 gm,500 gm,89,https://chaldal.com/fresh-vegetable
Lomba Lebu (Long Lemon),4 pcs,25,https://chaldal.com/fresh-vegetable
Misti Kumra Fali (Sweet Pumpkin Slice) ± 40 gm,1 kg,45,https://chaldal.com/fresh-vegetable
Deshi Roshun (Garlic Local) ±25 gm,500 gm,59,https://chaldal.com/fresh-vegetable
Kacha Pepe (Green Papaya) ± 70 gm,1.4 kg,59,https://chaldal.com/fresh-vegetable
Kacha Morich (Green Chilli) ± 12 gm,100 gm,12,https://chaldal.com/fresh-vegetable
Misti Alu (Sweet Potato) ± 25 gm,500 gm,39,https://chaldal.com/fresh-vegetable
Deshi Ada (Local Ginger) ± 25 gm,500 gm,75,https://chaldal.com/fresh-vegetable
Palong Shak (Palong Spinach),1 bundle,29,https://chaldal.com/fresh-vegetable
Kolmi Shak (Water Spinach),1 bundle,19,https://chaldal.com/fresh-vegetable
Shosha (Cucumber) ± 25 gm,500 gm,35,https://chaldal.com/fresh-vegetable
Chichinga (Snake Gourd) ± 25 gm,500 gm,29,https://chaldal.com/fresh-vegetable
Gol Lebu (Round Lemon),4 pcs,29,https://chaldal.com/fresh-vegetable
Lau (Bottle Gourd),each,65,https://chaldal.com/fresh-vegetable
Fulkopi (Cauliflower),each,75,https://chaldal.com/fresh-vegetable
Green Capsicum ± 15 gm,300 gm,89,https://chaldal.com/fresh-vegetable
