Serial No,Item Name,Volume/Weight,Price (BDT),Discounted Price (BDT),Source URL
2708,Darifen ER,7.5mg,22.07,20.06,https://www.arogga.com/category/medicine/6404/genitourinary-system
2709,Viara,50mg,30,27.27,https://www.arogga.com/category/medicine/6404/genitourinary-system
2710,Silfil 100,100mg,50,45.45,https://www.arogga.com/category/medicine/6404/genitourinary-system
2711,Viamax,25mg,80,72.72,https://www.arogga.com/category/medicine/6404/genitourinary-system
2712,Carbate,100mcg/ml,150,136.35,https://www.arogga.com/category/medicine/6404/genitourinary-system
2713,Dulong,60mg,60,56.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2714,Rantoin 100,100mg,60,54,https://www.arogga.com/category/medicine/6404/genitourinary-system
2715,Miraflo 25,25mg,300,270,https://www.arogga.com/category/medicine/6404/genitourinary-system
2716,Pitocin,5IU/ml,8.35,7.60,https://www.arogga.com/category/medicine/6404/genitourinary-system
2717,G-ergometrine,200mcg/ml,19.50,17.73,https://www.arogga.com/category/medicine/6404/genitourinary-system
2718,Enigma 50,50mg,33,30.66,https://www.arogga.com/category/medicine/6404/genitourinary-system
2719,Pawar,5mg,18,16.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2720,Tada 5,5mg,18,16.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2721,Durevolis 5,5mg,,180,https://www.arogga.com/category/medicine/6404/genitourinary-system
2722,Celeste,10mg,35.11,31.92,https://www.arogga.com/category/medicine/6404/genitourinary-system
2723,Gynastin,Vaginal Suppository,288.96,262.64,https://www.arogga.com/category/medicine/6404/genitourinary-system
2724,Enigma 100,100mg,65,60.40,https://www.arogga.com/category/medicine/6404/genitourinary-system
2725,Uritol,2mg,3,2.73,https://www.arogga.com/category/medicine/6404/genitourinary-system
2726,Eziflo-D,400mcg+500mcg,20,18,https://www.arogga.com/category/medicine/6404/genitourinary-system
2727,Uritro SR 100,100mg,200,181.80,https://www.arogga.com/category/medicine/6404/genitourinary-system
2728,Arbecin IV,100mcg/ml,150,136.35,https://www.arogga.com/category/medicine/6404/genitourinary-system
2729,Repane,0.40%,200,181.80,https://www.arogga.com/category/medicine/6404/genitourinary-system
2730,Nocpres,200mcg,,450,https://www.arogga.com/category/medicine/6404/genitourinary-system
2731,Adegra 25,25mg,20,18.18,https://www.arogga.com/category/medicine/6404/genitourinary-system
2732,Relsin 8,8mg,24,21.60,https://www.arogga.com/category/medicine/6404/genitourinary-system
2733,Novagra,50mg,,1,https://www.arogga.com/category/medicine/6404/genitourinary-system
2734,Silfil 50,50mg,30.10,27.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2735,X-cite 100,100mg,50.15,45.59,https://www.arogga.com/category/medicine/6404/genitourinary-system
2736,Tealis 20,20mg,60,54,https://www.arogga.com/category/medicine/6404/genitourinary-system
2737,Urgotin,200mcg/ml,3,2.73,https://www.arogga.com/category/medicine/6404/genitourinary-system
2738,Duralast,60mg,50.15,47.11,https://www.arogga.com/category/medicine/6404/genitourinary-system
2739,Cialix,5mg,18.05,16.41,https://www.arogga.com/category/medicine/6404/genitourinary-system
2740,Gynoxin,Vaginal Suppository,24,21.82,https://www.arogga.com/category/medicine/6404/genitourinary-system
2741,Tada,20mg,60,54.54,https://www.arogga.com/category/medicine/6404/genitourinary-system
2742,Carbeshot,100mcg/ml,149,138.45,https://www.arogga.com/category/medicine/6404/genitourinary-system
2743,Powergra 50,50mg,30,27.27,https://www.arogga.com/category/medicine/6404/genitourinary-system
2744,Maxtra,0.4mg,10,9,https://www.arogga.com/category/medicine/6404/genitourinary-system
2745,SB-Tad 10,10mg,25,22.73,https://www.arogga.com/category/medicine/6404/genitourinary-system
2746,Ciafil,5mg,18,16.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2747,Maxflo U,0.4mg,10.30,9.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2748,Cialix,20mg,60,54.54,https://www.arogga.com/category/medicine/6404/genitourinary-system
2749,Ulicon,30mg,5850,5317.65,https://www.arogga.com/category/medicine/6404/genitourinary-system
2750,Zifday,50mg+0.50mg+22.5mg,50,45.45,https://www.arogga.com/category/medicine/6404/genitourinary-system
2751,Refeel,10mg,30.09,27.35,https://www.arogga.com/category/medicine/6404/genitourinary-system
2752,SB-Sild,100mg,50,45.45,https://www.arogga.com/category/medicine/6404/genitourinary-system
2753,Penfil 20,20mg,55,50,https://www.arogga.com/category/medicine/6404/genitourinary-system
2754,Urocare,0.4mg,,0,https://www.arogga.com/category/medicine/6404/genitourinary-system
2755,Glycine,1.50%,80,72.72,https://www.arogga.com/category/medicine/6404/genitourinary-system
2756,Tolorin,2mg,3,2.73,https://www.arogga.com/category/medicine/6404/genitourinary-system
2757,Carbestop,250mcg/ml,200,181.80,https://www.arogga.com/category/medicine/6404/genitourinary-system
2758,Detrusin,1mg,2.50,2.27,https://www.arogga.com/category/medicine/6404/genitourinary-system
2759,Inducin,10IU/ml,25,22.73,https://www.arogga.com/category/medicine/6404/genitourinary-system
2760,Urodel-K,(1500mg+250mg)/5ml,200,180,https://www.arogga.com/category/medicine/6404/genitourinary-system
2761,Tamosin,0.4mg,10,9.09,https://www.arogga.com/category/medicine/6404/genitourinary-system
2762,Enablex,7.5mg,62.60,58.80,https://www.arogga.com/category/medicine/6404/genitourinary-system
2763,Trigger DS,100mg,200,181.80,https://www.arogga.com/category/medicine/6404/genitourinary-system
2764,kTX,10mg,35.11,31.92,https://www.arogga.com/category/medicine/6404/genitourinary-system
2765,Nitrobac 100 SR,100mg,20,18.18,https://www.arogga.com/category/medicine/6404/genitourinary-system
2766,Detrusin,2mg,3.50,3.18,https://www.arogga.com/category/medicine/6404/genitourinary-system
2767,Terodin,2mg,2.61,2.37,https://www.arogga.com/category/medicine/6404/genitourinary-system
2768,Alfumax 2.5,2.5mg,,0,https://www.arogga.com/category/medicine/6404/genitourinary-system
2769,Ciafil,10mg,35,31.82,https://www.arogga.com/category/medicine/6404/genitourinary-system
2770,SB-Sild 50,50mg,30,27.27,https://www.arogga.com/category/medicine/6404/genitourinary-system
2771,Ofuran,500mg/100ml,,1,https://www.arogga.com/category/medicine/6404/genitourinary-system
2772,Xtreme,30mg,,1,https://www.arogga.com/category/medicine/6404/genitourinary-system
2773,Syntocinon,5IU/ml,,1,https://www.arogga.com/category/medicine/6404/genitourinary-system
2774,Ciafil,20mg,55.15,50.14,https://www.arogga.com/category/medicine/6404/genitourinary-system
2775,Nitrofur,25mg/5ml,80,72.72,https://www.arogga.com/category/medicine/6404/genitourinary-system
2776,Umactin,25mg/5ml,80,72.72,https://www.arogga.com/category/medicine/6404/genitourinary-system
2777,Durevolis 20,20mg,,240,https://www.arogga.com/category/medicine/6404/genitourinary-system
2778,Enjofil,100mg,50.15,45.59,https://www.arogga.com/category/medicine/6404/genitourinary-system
2779,Tamsol,0.4mg,10,9.09,https://www.arogga.com/category/medicine/6404/genitourinary-system
2780,KX-100,100mg,50.14,45.58,https://www.arogga.com/category/medicine/6404/genitourinary-system
2781,Celeste,20mg,60.18,54.70,https://www.arogga.com/category/medicine/6404/genitourinary-system
2782,Danafil,25mg,18,16.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2783,Tamfast 0.4,0.4mg,10.03,9.42,https://www.arogga.com/category/medicine/6404/genitourinary-system
2784,G-ergometrine,125mcg,0.55,0.52,https://www.arogga.com/category/medicine/6404/genitourinary-system
2785,Tolter,1mg,2.01,1.83,https://www.arogga.com/category/medicine/6404/genitourinary-system
2786,Kamagra,50mg,30.09,27.35,https://www.arogga.com/category/medicine/6404/genitourinary-system
2787,Prosulin 0.4,0.4mg,100,90,https://www.arogga.com/category/medicine/6404/genitourinary-system
2788,Somargon,200mcg/ml,,0,https://www.arogga.com/category/medicine/6404/genitourinary-system
2789,MTY,200mg,1750,1590.75,https://www.arogga.com/category/medicine/6404/genitourinary-system
2790,X-Ride,30mg,30,27.27,https://www.arogga.com/category/medicine/6404/genitourinary-system
2791,Enjofil,25mg,15.05,13.69,https://www.arogga.com/category/medicine/6404/genitourinary-system
2792,Flavox,200mg,18,16.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2793,Viev,10mg,35,31.82,https://www.arogga.com/category/medicine/6404/genitourinary-system
2794,Peak,100mg,50.15,45.59,https://www.arogga.com/category/medicine/6404/genitourinary-system
2795,X-Ride,60mg,50,45.45,https://www.arogga.com/category/medicine/6404/genitourinary-system
2796,Manlee 20,20mg,200,181.80,https://www.arogga.com/category/medicine/6404/genitourinary-system
2797,Refeel,20mg,50.15,45.59,https://www.arogga.com/category/medicine/6404/genitourinary-system
2798,Mictrol,0.4mg,10,9.39,https://www.arogga.com/category/medicine/6404/genitourinary-system
2799,Panagra 50,50mg,120,109.08,https://www.arogga.com/category/medicine/6404/genitourinary-system
2800,Alken Solution,(1500mg+250mg)/5ml,100,90.90,https://www.arogga.com/category/medicine/6404/genitourinary-system
2801,Thrombocid,15mg/gm,495,449.96,https://www.arogga.com/category/medicine/6404/genitourinary-system
2802,Lactoring,,92,83.63,https://www.arogga.com/category/medicine/6404/genitourinary-system
2803,Supergra-50,50mg,30,27.27,https://www.arogga.com/category/medicine/6404/genitourinary-system
2804,Novagra,25mg,20.26,18.41,https://www.arogga.com/category/medicine/6404/genitourinary-system
2805,Entafi,5mg+5mg,150,136.35,https://www.arogga.com/category/medicine/6404/genitourinary-system
2806,Darilax 7.5,7.5mg,14,12.73,https://www.arogga.com/category/medicine/6404/genitourinary-system
2807,Urgotin,200mcg/ml,15,13.64,https://www.arogga.com/category/medicine/6404/genitourinary-system
2808,X-cite 50,50mg,30,27.27,https://www.arogga.com/category/medicine/6404/genitourinary-system
2809,Darilax,15mg,40,36.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2810,Nocpres 100,100mcg,,300,https://www.arogga.com/category/medicine/6404/genitourinary-system
2811,Urotam,0.4mg,10,9.09,https://www.arogga.com/category/medicine/6404/genitourinary-system
2812,Sterisol Solution 2000ml,1.50%,165,151.48,https://www.arogga.com/category/medicine/6404/genitourinary-system
2813,Dejac 60,60mg,50,45.45,https://www.arogga.com/category/medicine/6404/genitourinary-system
2814,Uritol,1mg,2,1.82,https://www.arogga.com/category/medicine/6404/genitourinary-system
2815,SB-Tad,5mg,18,16.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2816,Rantoin,500mg/100ml,80,74.34,https://www.arogga.com/category/medicine/6404/genitourinary-system
2817,Urinor,(1500mg+250mg)/5ml,200,181.80,https://www.arogga.com/category/medicine/6404/genitourinary-system
2818,Ezipas,0.4mg,10.03,9.12,https://www.arogga.com/category/medicine/6404/genitourinary-system
2819,Flavox,100mg,10,9.09,https://www.arogga.com/category/medicine/6404/genitourinary-system
2820,KX-50,50mg,30.09,27.35,https://www.arogga.com/category/medicine/6404/genitourinary-system
2821,Tamsule SR,0.4mg,10.03,9.12,https://www.arogga.com/category/medicine/6404/genitourinary-system
2822,Syntocin,5IU/ml,10.50,9.54,https://www.arogga.com/category/medicine/6404/genitourinary-system
2823,Urivent,0.4mg,,1,https://www.arogga.com/category/medicine/6404/genitourinary-system
2824,Irigin,1.50%,70.80,64.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2825,Renalaid-A,9.74gm+8.84gm+3.74,450.87,409.84,https://www.arogga.com/category/medicine/6404/genitourinary-system
2826,Enablex,15mg,64.59,60.67,https://www.arogga.com/category/medicine/6404/genitourinary-system
2827,Peak 50,50mg,30.09,27.35,https://www.arogga.com/category/medicine/6404/genitourinary-system
2828,Prosulin D,400mcg+500mcg,200,171.70,https://www.arogga.com/category/medicine/6404/genitourinary-system
2829,Nitrobac,25mg/5ml,80,72.72,https://www.arogga.com/category/medicine/6404/genitourinary-system
2830,Darifen ER,15mg,40,36.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2831,Enjofil,50mg,30.10,27.36,https://www.arogga.com/category/medicine/6404/genitourinary-system
2832,Flonor,0.4mg,10,9.09,https://www.arogga.com/category/medicine/6404/genitourinary-system
2833,Avox,200mg,18.07,16.42,https://www.arogga.com/category/medicine/6404/genitourinary-system
2834,kTX,20mg,60.18,54.70,https://www.arogga.com/category/medicine/6404/genitourinary-system
2835,kTX,5mg,18.05,16.41,https://www.arogga.com/category/medicine/6404/genitourinary-system
2836,Avox,100mg,10.04,9.13,https://www.arogga.com/category/medicine/6404/genitourinary-system
2837,Tealis,40mg,100,90.90,https://www.arogga.com/category/medicine/6404/genitourinary-system
2838,G Methyl Ergometrine,125mcg,0.60,0.55,https://www.arogga.com/category/medicine/6404/genitourinary-system
2839,Uritro SR 50,50mg,40,36.38,https://www.arogga.com/category/medicine/6404/genitourinary-system
2840,Uripay,200mg,,1,https://www.arogga.com/category/medicine/6404/genitourinary-system
2841,Uripay,100mg,,1,https://www.arogga.com/category/medicine/6404/genitourinary-system
2842,Uritro,25mg/5ml,80,72.77,https://www.arogga.com/category/medicine/6404/genitourinary-system
2843,Oxagon,100mcg/ml,150,136.35,https://www.arogga.com/category/medicine/6404/genitourinary-system
2844,Gyno Foam,,,2000,https://www.arogga.com/category/medicine/6404/genitourinary-system
2845,Provigor 20,20mg,240,216,https://www.arogga.com/category/medicine/6404/genitourinary-system
2846,Syntocin,10iU/ml,280,254.52,https://www.arogga.com/category/medicine/6404/genitourinary-system
2847,Dystal Tablet,5mg,360,345.42,https://www.arogga.com/category/medicine/6404/genitourinary-system
2848,Euronit 100 SR,100mg,200,180,https://www.arogga.com/category/medicine/6404/genitourinary-system
2849,Folison,5mg,3.50,3.46,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2850,Hemofix FZ,48mg+0.5mg+22.5mg,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2851,Zif-CI,,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2852,Citofer 210,210mg,200,180.96,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2853,Ipec Plus,,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2854,Feglo-FZ,48mg+0.5mg+22.5mg,70,63,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2855,Methicol,0.5mg,40.30,36.27,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2856,Multivit PLUS,,75,67.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2857,Ipec SUPER,,36,32.40,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2858,Filofer 30,30mg,110,99,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2859,Zif-A,,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2860,Revocit,210mg,150,135,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2861,Mecolagin 0.5,0.5mg,40,36,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2862,B-9 100ml Syrup,2.5mg/5ml,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2863,Ferix-V,50mg+0.50mg+61.80mg,45,40.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2864,Supravit M,,53.25,47.93,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2865,Prenat CI,,60,54,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2866,Zeefol CI,,67.50,61.05,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2867,Mecol 0.5,0.5mg,40,36,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2868,Zepiron Plus,,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2869,Fericit,210mg,200,180,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2870,Ferozi-CI,50mg/0.50mg/61.80mg,45,40.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2871,Alneed Plus,,35,31.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2872,Monimix,,84,75.60,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2873,Alneed Gold,,60,54,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2874,Malifa 30,30mg,660,594,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2875,Zif Forte,,40,36,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2876,Phoscon,210mg,150,135,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2877,Preneed-CI,,40,36,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2878,Irobest,,35,31.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2879,Irobest,,35,31.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2880,Epomax 5000,5000IU/0.5ml,1100,990,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2881,Defaz CI,,30,27,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2882,Oroxat 50,50mg,855,769.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2883,Ferromax,30mg,88,79.20,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2884,Feofol CI,,37.50,33.75,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2885,Nervex 0.5 Tablet,0.5mg,45,40.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2886,Compiron Drops,50mg/ml,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2887,Oroxat 70,70mg,1200,1080,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2888,Feup 210,210mg,250,225,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2889,Nuvifer,30mg,110,99,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2890,Bicozin I,100ml,60,54,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2891,Zepiron,,105,94.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2892,Feviz PLUS,,60.20,54.18,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2893,Prenat XL,,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2894,Compiron,200ml,90,81,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2895,Neural,0.5mg,42.50,38.25,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2896,FML 30,30mg,110,99.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2897,Aurifer,210mg,150,135,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2898,Hematin FZ,48mg+0.5mg+22.5mg,40,36,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2899,Foli Kidz Oral Solution,2.5mg/5ml,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2900,Orofer-M,30mg,110,99,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2901,Renesis 50,50mg,1050,945,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2902,Femotol,30mg,66,59.40,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2903,Alneed,,30,27,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2904,Compiron 100ml,100ml,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2905,Ferisen 1gm,1gm/20ml,1300,1170,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2906,Roxatat 50,50mg,1050,945,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2907,Mecolin,0.5mg,40.50,36.45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2908,Ziliron B,,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2909,Ferozi,,30,27,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2910,Oroxat 100,100mg,1575,1417.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2911,Renofix 50,50mg,1050,945,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2912,Aritone ZI,100ml,60,54,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2913,Renesis 70,70mg,1500,1350,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2914,Momneed,,30,27,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2915,Folistar,5mg,90,81,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2916,Ferospan,150mg+500mcg,24,21.60,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2917,Nuviron,48mg+0.5mg+22.5mg,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2918,Folic OS Oral Solution,2.5mg/5ml,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2919,Ferisen 500,500mg/10ml,710,642.47,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2920,Roxatat 100,100mg,1800,1710,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2921,Daprostat 6,6mg,1400,1260,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2922,Supravit PN,,50.50,45.45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2923,Ferocit-TR,150mg+500mcg,24,21.60,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2924,Envit M,,60,54,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2925,Ferinject 500/10ml,500mg/10ml,3430,3087,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2926,Maltofer 500mg,500mg/10ml,700,630,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2927,Feofol,150mg+500mcg,36,32.40,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2928,Renesis 100,100mg,1800,1620,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2929,Aritone ZI,200ml,100,90,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2930,V-Plex PLUS,,60,54,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2931,Folic Acid 5,5mg,3.40,2.70,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2932,Folic ZI,,45,40.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2933,Epoetin 5000,5000IU/0.5ml,2160,1944,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2934,Solvit M,,60,54,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2935,Initer 5000,5000IU/0.5ml,2557.71,2429.82,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2936,Feona Z,,35,31.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2937,Irofil-Fz,48mg+0.5mg+22.5mg,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2938,Mecolagin,0.5mg/ml,30,27,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2939,Feryx,210mg,150,135,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2940,Mecobal,0.5mg,40.40,36.36,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2941,Roxatat 70,70mg,3000,2850,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2942,Renofix 70,70mg,1500,1350,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2943,Opsovit MM,,45.60,41.04,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2944,Feritol,30mg,80,72,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2945,Daprostat 4,4mg,900,810,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2946,Neurolox,,1350,1200,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2947,Remylin,0.5mg,45,40.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2948,FeonA FZ,48mg+0.5mg+22.5mg,50,45,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2949,Daprotab 6,6mg,1200,1080,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2950,Precare,,150,135,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2951,Maltofer 1gm,1000mg/20ml,1300,1170,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2952,Daprosis 6,6mg,1400,1260,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2953,Recormon 5000,5000IU,3622,3440.90,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2954,Daprotab 4,4mg,800,720,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2955,Tynifer,30mg,44,39.60,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2956,Xvit Cap,,35.10,31.59,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2957,Zifocap,,37.66,33.89,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2958,Nutrum PN 30's,,150,135,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2959,OROFER,,35,31.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2960,Hemoron 100ml,,100,90,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2961,Supra Z,,50.20,45.18,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2962,Ifozin SR,,15.25,13.73,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2963,Ferrolin TR,,29.10,26.19,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2964,Initer 3000,3000IU/0.75ml,1477.78,1330,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2965,Hemadus 50,50mg,1050,945,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2966,Preg-CI,,40,36,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2967,Revital,200ml,175,157.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2968,Biozinc-I,,50.19,45.17,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2969,Oroxat 20,20mg,525,472.50,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2970,Hemofol-TR,200mg+200mcg,23.60,21.24,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2971,Acufer,30mg,110,99,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2972,Fivita Z,,60,54,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2973,Epoetin 2000,2000IU/0.5ml,1025,927.52,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2974,Epomax 3000,3000IU/ml,700,630,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2975,Eposis 5000,5000IU/0.5ml,2166.50,1949.85,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2976,Ferokid 100ml,207.5mg/5ml,100,90,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2977,Ifol Plus,150mg+500mcg,24,16.80,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2978,Vizicon Gold,,90.30,81.27,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2979,Roxado 70,70mg,1200,1080,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2980,Daprosis 4,4mg,2100,1890,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2981,Ferroglobin,200mg/5ml,40.25,36.23,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2982,Renvista 70,70mg,1500,1357.35,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2983,Xenofer,100mg/5ml,350,315,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
2984,Erenzo 100,100mg,1800,1620,https://www.arogga.com/category/medicine/6937/anemia-other-blood-disorders
