Serial No,Item Name,Volume/Weight,Price (BDT),Discounted Price (BDT),Source URL
1,Ketozol Shampoo,2%,230,207,https://www.arogga.com/category/medicine/6323/antimicrobial
2,Solas 100,100mg,20.70,18.63,https://www.arogga.com/category/medicine/6323/antimicrobial
3,Doxicap 100,100mg,22,19.80,https://www.arogga.com/category/medicine/6323/antimicrobial
4,Candifast SB 65,65mg,200,180,https://www.arogga.com/category/medicine/6323/antimicrobial
5,Reconil,200mg,120,108,https://www.arogga.com/category/medicine/6323/antimicrobial
6,Alben DS,400mg,50,45,https://www.arogga.com/category/medicine/6323/antimicrobial
7,Zimax 500,500mg,240,216,https://www.arogga.com/category/medicine/6323/antimicrobial
8,Dermasim Solution,1%,85,76.50,https://www.arogga.com/category/medicine/6323/antimicrobial
9,Flugal 50,50mg,80.70,72.63,https://www.arogga.com/category/medicine/6323/antimicrobial
10,Ciprocin 500,500mg,150.50,135.45,https://www.arogga.com/category/medicine/6323/antimicrobial
11,Alben,200mg/5ml,23,20.70,https://www.arogga.com/category/medicine/6323/antimicrobial
12,Itracon Suba,65mg,200,180,https://www.arogga.com/category/medicine/6323/antimicrobial
13,Clindacin Lotion,10mg/ml,125,112.50,https://www.arogga.com/category/medicine/6323/antimicrobial
14,Scabo 12,12mg,100,90,https://www.arogga.com/category/medicine/6323/antimicrobial
15,Itra 100,100mg,90.60,81.54,https://www.arogga.com/category/medicine/6323/antimicrobial
16,Fluclox 500,500mg,140,126,https://www.arogga.com/category/medicine/6323/antimicrobial
17,Moxaclav 625,500mg+125mg,192,172.80,https://www.arogga.com/category/medicine/6323/antimicrobial
18,Penvik 250,250mg,28,25.20,https://www.arogga.com/category/medicine/6323/antimicrobial
19,Flugal 150,150mg,221.40,199.26,https://www.arogga.com/category/medicine/6323/antimicrobial
20,Almex 400,400mg,20.08,18.07,https://www.arogga.com/category/medicine/6323/antimicrobial
21,Barcavir 0.5,0.5mg,480,432,https://www.arogga.com/category/medicine/6323/antimicrobial
22,Cef-3 DS 400,400mg,420,378,https://www.arogga.com/category/medicine/6323/antimicrobial
23,Doxin 100,100mg,22.10,19.89,https://www.arogga.com/category/medicine/6323/antimicrobial
24,SuperItra 65,65mg,200,180,https://www.arogga.com/category/medicine/6323/antimicrobial
25,Afun,1%,35.11,31.60,https://www.arogga.com/category/medicine/6323/antimicrobial
26,Resolve Shampoo,2%,250,225,https://www.arogga.com/category/medicine/6323/antimicrobial
27,Ketocon 2%,2%,250,225,https://www.arogga.com/category/medicine/6323/antimicrobial
28,Neosten Cream,1%,45,40.50,https://www.arogga.com/category/medicine/6323/antimicrobial
29,Amantril 100,100mg,100,90,https://www.arogga.com/category/medicine/6323/antimicrobial
30,Cef-3 200,200mg,315,277.20,https://www.arogga.com/category/medicine/6323/antimicrobial
31,Cef-3 200,200mg,315,277.20,https://www.arogga.com/category/medicine/6323/antimicrobial
32,Optimox,0.50%,200,180,https://www.arogga.com/category/medicine/6323/antimicrobial
33,Odessy Shampoo 5ml,2%,12,10.80,https://www.arogga.com/category/medicine/6323/antimicrobial
34,Nizoder 2% Cream 30gm,20mg/gm,90,81,https://www.arogga.com/category/medicine/6323/antimicrobial
35,Clotrim 20gm,1%,45,40.50,https://www.arogga.com/category/medicine/6323/antimicrobial
36,Solas Suspension,100mg/5ml,18.25,16.43,https://www.arogga.com/category/medicine/6323/antimicrobial
37,Itracon 100,100mg,170,153,https://www.arogga.com/category/medicine/6323/antimicrobial
38,Suba-i,65mg,150,135,https://www.arogga.com/category/medicine/6323/antimicrobial
39,Enterogermina,2billion/5ml,70,63,https://www.arogga.com/category/medicine/6323/antimicrobial
40,Cefotil Plus 500,500mg+125mg,360,324,https://www.arogga.com/category/medicine/6323/antimicrobial
41,Cefaclav 500,500mg+125mg,420,378,https://www.arogga.com/category/medicine/6323/antimicrobial
42,Nystat Suspension 30ml,1LacUnit,46.84,42.16,https://www.arogga.com/category/medicine/6323/antimicrobial
43,Scalpe Plus Shampoo,75ml,550,495,https://www.arogga.com/category/medicine/6323/antimicrobial
44,Itra 200,200mg,168,151.20,https://www.arogga.com/category/medicine/6323/antimicrobial
45,Clarizol,1%,68,61.20,https://www.arogga.com/category/medicine/6323/antimicrobial
46,Delentin Suspension,50mg/ml,16.05,14.45,https://www.arogga.com/category/medicine/6323/antimicrobial
47,Moxacil 500,500mg,75,67.50,https://www.arogga.com/category/medicine/6323/antimicrobial
48,Flugal 200,200mg,151.02,135.92,https://www.arogga.com/category/medicine/6323/antimicrobial
49,Alfavir,25mg,900,810,https://www.arogga.com/category/medicine/6323/antimicrobial
50,Nexataf 25,25mg,2700,2443.20,https://www.arogga.com/category/medicine/6323/antimicrobial
51,Penvik DS 500,500mg,55,49.70,https://www.arogga.com/category/medicine/6323/antimicrobial
52,Cef-3 50ml,100mg/5ml,230,208.12,https://www.arogga.com/category/medicine/6323/antimicrobial
53,Fungitac,2%,200,180,https://www.arogga.com/category/medicine/6323/antimicrobial
54,Cavir 0.5,0.5mg,481.40,433.26,https://www.arogga.com/category/medicine/6323/antimicrobial
55,Azithrocin 500,500mg,105,94.50,https://www.arogga.com/category/medicine/6323/antimicrobial
